Ticker,Name,Sector,Industry
AAV,Advantage Energy Ltd.,Energy,Oil & Gas Exploration and Production
AEM,Agnico Eagle Mines Limited,Basic Materials,Metals & Mining
AC,Air Canada,Industrials,Transportation
AGI,Alamos Gold Inc.,Basic Materials,Metals & Mining
ASTL,Algoma Steel Group Inc.,Basic Materials,Steel
AQN,Algonquin Power & Utilities Corp.,Energy,Renewable Energy Producers
ATD,Alimentation Couche-Tard Inc.,Consumer Cyclical,Retail - Discretionary
AP.UN,Allied Properties Real Estate Investment Trust,Real Estate,REITs
ALA,AltaGas Ltd.,Utilities,Regulated Utilities
AIF,Altus Group Limited,Real Estate,Real Estate
ARX,ARC Resources Ltd.,Energy,Oil & Gas Exploration and Production
ATZ,Aritzia Inc.,Consumer Cyclical,Retail - Discretionary
ACO.X,ATCO Ltd.,Utilities,Regulated Utilities
ATH,Athabasca Oil Corporation,Energy,Oil & Gas Exploration and Production
ATRL,AtkinsRéalis Group Inc.,Industrials,Construction
ATS,ATS Corporation,Industrials,Industrial Products
AYA,Aya Gold & Silver Inc.,Basic Materials,Metals & Mining
BTO,B2Gold Corp.,Basic Materials,Metals & Mining
BDGI,Badger Infrastructure Solutions Ltd.,Industrials,Construction
BMO,Bank of Montreal,Financial Services,Banks
BNS,Bank of Nova Scotia,Financial Services,Banks
ABX,Barrick Gold Corporation,Basic Materials,Metals & Mining
BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers
BTE,Baytex Energy Corp.,Energy,Oil & Gas Exploration and Production
BCE,BCE Inc.,Communication Services,Telecommunication Services
BIR,Birchcliff Energy Ltd.,Energy,Oil & Gas Exploration and Production
BDT,Bird Construction Inc.,Industrials,Construction
BB,BlackBerry Limited,Information Technology,Software
BEI.UN,Boardwalk Real Estate Investment Trust,Real Estate,REITs
BBD.B,Bombardier Inc.,Industrials,Aerospace & Defense
BLX,Boralex Inc.,Energy,Renewable Energy Producers
BYD,Boyd Group Services Inc.,Consumer Cyclical,Personal Services
BAM,Brookfield Asset Management Ltd.,Financial Services,Asset Management
BBU.UN,Brookfield Business Partners L.P.,Industrials,Conglomerates
BN,Brookfield Corporation,Financial Services,Asset Management
BIP.UN,Brookfield Infrastructure Partners L.P.,Utilities,Regulated Utilities
BEP.UN,Brookfield Renewable Partners L.P.,Energy,Renewable Energy Producers
DOO,BRP Inc.,Consumer Cyclical,Vehicles & Parts
CAE,CAE Inc.,Industrials,Aerospace & Defense
CXB,Calibre Mining Corp.,Basic Materials,Metals & Mining
CCO,Cameco Corporation,Energy,Other Energy Sources
CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,REITs
CM,Canadian Imperial Bank of Commerce,Financial Services,Banks
CNR,Canadian National Railway Company,Industrials,Transportation
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas Exploration and Production
CP,Canadian Pacific Kansas City Limited,Industrials,Transportation
CTC.A,Canadian Tire Corporation Limited,Consumer Cyclical,Retail - Discretionary
CU,Canadian Utilities Limited,Utilities,Regulated Utilities
CWB,Canadian Western Bank,Financial Services,Banks
CPX,Capital Power Corporation,Utilities,Independent Power Producers
CS,Capstone Copper Corp.,Basic Materials,Metals & Mining
CJT,Cargojet Inc.,Industrials,Transportation
CCL.B,CCL Industries Inc.,Consumer Cyclical,Packaging & Containers
CLS,Celestica Inc.,Information Technology,Hardware & Equipment
CVE,Cenovus Energy Inc.,Energy,Integrated Oil & Gas
CG,Centerra Gold Inc.,Basic Materials,Metals & Mining
CEU,CES Energy Solutions Corp.,Energy,Oil & Gas Equipment & Services
GIB.A,CGI Inc.,Information Technology,Software
CSH.UN,Chartwell Retirement Residences,Real Estate,Real Estate
CHP.UN,Choice Properties Real Estate Investment Trust,Real Estate,REITs
CIX,CI Financial Corp.,Financial Services,Asset Management
CCA,Cogeco Communications Inc.,Communication Services,Telecommunication Services
CIGI,Colliers International Group Inc.,Real Estate,Real Estate
CSU,Constellation Software Inc.,Information Technology,Software
CRR.UN,Crombie Real Estate Investment Trust,Real Estate,REITs
CRT.UN,CT Real Estate Investment Trust,Real Estate,REITs
DFY,Definity Financial Corporation,Financial Services,Insurance
DML,Denison Mines Corp.,Energy,Other Energy Sources
DSG,Descartes Systems Group Inc.,Information Technology,Software
DOL,Dollarama Inc.,Consumer Staples,Retailers - Staples
DIR.UN,Dream Industrial Real Estate Investment Trust,Real Estate,REITs
DPM,Dundee Precious Metals Inc.,Basic Materials,Metals & Mining
ELD,Eldorado Gold Corporation,Basic Materials,Metals & Mining
EFN,Element Fleet Management Corp.,Industrials,Business Services
EMA,Emera Incorporated,Utilities,Regulated Utilities
EMP.A,Empire Company Limited,Consumer Staples,Retailers - Staples
ENB,Enbridge Inc.,Energy,Oil & Gas Storage/Transport
EFR,Energy Fuels Inc.,Energy,Other Energy Sources
ENGH,Enghouse Systems Limited,Information Technology,Software
EQB,EQB Inc.,Financial Services,Banks
EQX,Equinox Gold Corp.,Basic Materials,Metals & Mining
ERO,Ero Copper Corp.,Basic Materials,Metals & Mining
EIF,Exchange Income Corporation,Industrials,Transportation
FFH,Fairfax Financial Holdings Limited,Financial Services,Insurance
FIL,Filo Corp.,Basic Materials,Metals & Mining
FTT,Finning International Inc.,Industrials,Industrial Distribution
FCR.UN,First Capital Real Estate Investment Trust,Real Estate,REITs
AG,First Majestic Silver Corp.,Basic Materials,Metals & Mining
FM,First Quantum Minerals Ltd.,Basic Materials,Metals & Mining
FSV,FirstService Corporation,Real Estate,Real Estate
FTS,Fortis Inc.,Utilities,Regulated Utilities
